iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
VCT,North America,Saint Vincent and the Grenadines,2022-02-04,8035.0,96.0,-201.714,95.0,0.0,0.286,72212.386,862.774,-1812.853,853.787,0.0,2.568,0.71,,,,,,,,,,97148.0,873.091,,91.0,0.818,0.081,12.3,tests performed,63669.0,34138.0,27395.0,2136.0,,82.0,57.22,30.68,24.62,1.92,737.0,21.0,0.019,,111269.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,,,,
WSM,Oceania,Samoa,2022-02-04,33.0,0.0,0.571,,,,164.881,0.0,2.855,,,,,,,,,,,,,,,,,,,,,,267016.0,142433.0,124583.0,,,248.0,133.41,71.17,62.25,,1239.0,74.0,0.037,,200144.0,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,,,,
SMR,Europe,San Marino,2022-02-04,13328.0,243.0,157.0,109.0,0.0,0.0,391884.74,7144.957,4616.289,3204.94,0.0,0.0,1.23,,,,,,,,,,,,,,,,,,63366.0,24570.0,21775.0,,,233.0,186.32,72.24,64.03,,6851.0,6.0,0.018,37.96,34010.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,
STP,Africa,Sao Tome and Principe,2022-02-04,5908.0,1.0,5.0,70.0,0.0,0.143,26450.099,4.477,22.385,313.39,0.0,0.64,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223364.0,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,,,,
SAU,Asia,Saudi Arabia,2022-02-04,702624.0,3555.0,3879.0,8950.0,3.0,2.714,19881.451,100.592,109.76,253.249,0.085,0.077,1.1,,,,,,,,,133542.0,38442632.0,1087.773,3.779,139622.0,3.951,0.029,34.8,tests performed,58095578.0,25624833.0,23763036.0,8707709.0,243578.0,225047.0,164.39,72.51,67.24,24.64,6368.0,17639.0,0.05,49.07,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,
SEN,Africa,Senegal,2022-02-04,85143.0,26.0,51.0,1953.0,3.0,1.714,4951.237,1.512,2.966,113.571,0.174,0.1,0.44,,,,,,,,,1287.0,998162.0,58.045,0.075,1410.0,0.082,0.041,24.2,tests performed,2044504.0,1415371.0,1003584.0,,,4472.0,11.89,8.23,5.84,,260.0,3652.0,0.021,21.3,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,,
SRB,Europe,Serbia,2022-02-04,1745005.0,14519.0,15876.714,13868.0,61.0,58.429,253946.455,2112.916,2310.501,2018.177,8.877,8.503,1.23,150.0,21.829,4071.0,592.443,,,,,34132.0,8242567.0,1199.521,4.967,33177.0,4.828,0.49,2.0,people tested,8410883.0,3335402.0,3247144.0,1828337.0,4487.0,3653.0,122.4,48.54,47.25,26.61,532.0,597.0,0.009,28.7,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SYC,Africa,Seychelles,2022-02-04,37771.0,577.0,173.143,154.0,0.0,0.714,381872.409,5833.586,1750.509,1556.971,0.0,7.222,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98910.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,,,,
SLE,Africa,Sierra Leone,2022-02-04,7627.0,2.0,2.143,125.0,0.0,0.0,936.823,0.246,0.263,15.354,0.0,0.0,0.48,,,,,,,,,,,,,,,,,,1409313.0,1147770.0,692512.0,,,32362.0,17.31,14.1,8.51,,3975.0,26715.0,0.328,29.63,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
SGP,Asia,Singapore,2022-02-04,379681.0,13208.0,5865.143,866.0,6.0,1.857,69620.251,2421.886,1075.463,158.794,1.1,0.341,1.55,12.0,2.2,984.0,180.431,,,,,228300.0,,,41.862,228300.0,41.862,0.022,44.3,samples tested,12870890.0,4929611.0,4786538.0,3154741.0,25552.0,31738.0,236.01,90.39,87.77,57.85,5820.0,3669.0,0.067,60.19,5453600.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,,,,
SXM,North America,Sint Maarten (Dutch part),2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60098.0,27592.0,25501.0,,,68.0,138.41,63.55,58.73,,1566.0,14.0,0.032,,43421.0,1209.088,,,,36327.232,,,,,,,,78.95,,,,,
SVK,Europe,Slovakia,2022-02-04,1660336.0,20383.0,18748.143,17921.0,25.0,20.286,304689.619,3740.501,3440.487,3288.697,4.588,3.723,1.68,,,1535.0,281.689,,,,,31960.0,47827860.0,8776.93,5.865,54468.0,9.995,0.282,3.5,tests performed,6795273.0,2798118.0,2661120.0,1482107.0,,1161.0,124.7,51.35,48.83,27.2,213.0,77.0,0.001,46.3,5449270.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,
SVN,Europe,Slovenia,2022-02-04,774584.0,11744.0,14490.0,5933.0,21.0,14.0,372624.924,5649.622,6970.626,2854.156,10.102,6.735,1.39,133.0,63.982,749.0,360.317,86.0,41.51,631.0,303.455,8719.0,2516935.0,1210.808,4.194,16256.0,7.82,0.74,1.4,tests performed,2928242.0,1261633.0,1212493.0,600909.0,5116.0,2990.0,140.87,60.69,58.33,28.91,1438.0,152.0,0.007,75.0,2078723.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,,,,
SLB,Oceania,Solomon Islands,2022-02-04,2357.0,190.0,228.857,21.0,0.0,2.286,3348.035,269.888,325.083,29.83,0.0,3.247,,,,,,,,,,,,,,,,,,,271063.0,195262.0,75801.0,,,997.0,38.5,27.74,10.77,,1416.0,305.0,0.043,,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SOM,Africa,Somalia,2022-02-04,26067.0,679.0,97.0,1335.0,0.0,0.0,1593.386,41.505,5.929,81.604,0.0,0.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16359500.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,,,,
ZAF,Africa,South Africa,2022-02-04,3616075.0,3266.0,3082.286,95545.0,82.0,127.714,60225.763,54.395,51.335,1591.303,1.366,2.127,0.84,,,,,,,2675.0,44.552,30785.0,22374263.0,372.644,0.513,30717.0,0.512,0.1,10.0,people tested,30031893.0,19682367.0,16693235.0,628986.0,72351.0,57938.0,50.02,32.78,27.8,1.05,965.0,27655.0,0.046,41.67,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,251547.0,23.3,18.8,4189.518
OWID_SAM,,South America,2022-02-04,49990900.0,346201.0,325835.714,1223114.0,1808.0,1645.0,115117.405,797.22,750.324,2816.547,4.163,3.788,,,,,,,,,,,,,,,,,,,722852099.0,343403411.0,295528688.0,95948048.0,1701432.0,2476956.0,166.46,79.08,68.05,22.09,5704.0,733123.0,0.169,,434260137.0,,,,,,,,,,,,,,,,,,
KOR,Asia,South Korea,2022-02-04,971018.0,36362.0,22842.286,6858.0,22.0,20.857,18926.314,708.739,445.224,133.671,0.429,0.407,1.71,257.0,5.009,,,,,7908.0,154.136,286476.0,52448304.0,1022.281,5.584,253479.0,4.941,0.08,12.6,people tested,114793498.0,44658333.0,44053608.0,27594934.0,387165.0,196835.0,223.75,87.04,85.87,53.79,3837.0,5085.0,0.01,50.93,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
SSD,Africa,South Sudan,2022-02-04,16833.0,13.0,8.286,137.0,0.0,0.0,1478.995,1.142,0.728,12.037,0.0,0.0,0.81,,,,,,,,,509.0,324354.0,28.499,0.045,775.0,0.068,0.01,102.4,tests performed,342153.0,296056.0,247892.0,,,2948.0,3.01,2.6,2.18,,259.0,2820.0,0.025,38.89,11381377.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,,,,
ESP,Europe,Spain,2022-02-04,10199716.0,74368.0,77072.571,94040.0,183.0,181.857,218198.095,1590.922,1648.78,2011.757,3.915,3.89,0.91,1880.0,40.218,14446.0,309.037,929.0,19.874,11856.0,253.63,202777.0,82706689.0,1769.308,4.338,213507.0,4.567,0.33,3.0,tests performed,90592858.0,40936086.0,38312156.0,22105089.0,143754.0,154946.0,193.8,87.57,81.96,47.29,3315.0,9644.0,0.021,37.96,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,,,,
LKA,Asia,Sri Lanka,2022-02-04,615902.0,1243.0,1119.571,15544.0,29.0,22.571,28650.195,57.821,52.08,723.067,1.349,1.05,1.26,,,,,,,,,9662.0,6137352.0,285.494,0.449,7893.0,0.367,0.137,7.3,tests performed,36159785.0,16733188.0,13958389.0,5468208.0,141561.0,99917.0,168.21,77.84,64.93,25.44,4648.0,26127.0,0.122,,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,,,,
SDN,Africa,Sudan,2022-02-04,58874.0,251.0,252.571,3588.0,55.0,23.714,1310.952,5.589,5.624,79.894,1.225,0.528,0.97,,,,,,,,,,,,,,,,,,3718299.0,3194518.0,1436636.0,,,10873.0,8.28,7.11,3.2,,242.0,10214.0,0.023,18.52,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,,
SUR,South America,Suriname,2022-02-04,75252.0,394.0,329.857,1274.0,0.0,2.429,127158.253,665.768,557.381,2152.762,0.0,4.104,0.77,,,,,,,,,774.0,74221.0,125.416,1.308,555.0,0.938,0.417,2.4,tests performed,498165.0,264930.0,233235.0,,995.0,265.0,84.18,44.77,39.41,,448.0,106.0,0.018,54.63,591798.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,,,,
SWE,Europe,Sweden,2022-02-04,2287785.0,28129.0,31047.0,16180.0,80.0,46.429,225172.165,2768.559,3055.759,1592.495,7.874,4.57,1.64,110.0,10.827,2098.0,206.493,,,,,77851.0,17362408.0,1708.872,7.662,77851.0,7.662,0.526,1.9,tests performed,19509796.0,7778355.0,7515723.0,4084573.0,59673.0,63476.0,192.02,76.56,73.97,40.2,6248.0,708.0,0.007,50.0,10160159.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,,,,
CHE,Europe,Switzerland,2022-02-04,2364613.0,33400.0,33362.286,12779.0,11.0,14.286,271311.414,3832.256,3827.928,1466.239,1.262,1.639,1.21,197.0,22.603,1960.0,224.887,,,731.0,83.874,75919.0,17353304.0,1991.087,8.711,88133.0,10.112,0.4,2.5,tests performed,15357374.0,6073204.0,5926857.0,3450900.0,19577.0,20956.0,176.21,69.68,68.0,39.6,2404.0,1330.0,0.015,44.44,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,,,
SYR,Asia,Syria,2022-02-04,51741.0,85.0,73.0,3001.0,3.0,2.714,2831.136,4.651,3.994,164.207,0.164,0.149,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.09,18275704.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,,,,
TWN,Asia,Taiwan,2022-02-04,19029.0,71.0,56.429,851.0,0.0,0.0,797.694,2.976,2.365,35.674,0.0,0.0,1.12,,,,,,,,,12260.0,5736511.0,240.474,0.514,12301.0,0.516,0.004,246.5,people tested,41984449.0,19091332.0,17443080.0,5450037.0,324787.0,312741.0,176.0,80.03,73.12,22.85,13110.0,20195.0,0.085,,23855008.0,,42.2,,8.353,,,103.957,,,,,,80.46,,,,,
TJK,Asia,Tajikistan,2022-02-04,17733.0,4.0,10.0,125.0,0.0,0.0,1818.839,0.41,1.026,12.821,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,8305260.0,4522962.0,3759499.0,,,46714.0,85.19,46.39,38.56,,4791.0,21529.0,0.221,,9749625.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
TZA,Africa,Tanzania,2022-02-04,33230.0,310.0,119.571,789.0,11.0,5.143,540.339,5.041,1.944,12.83,0.179,0.084,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,61498438.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,,,,
THA,Asia,Thailand,2022-02-04,2486122.0,10490.0,8861.714,22271.0,21.0,20.714,35540.986,149.962,126.685,318.381,0.3,0.296,1.14,,,,,,,,,,,,,,,,,,116204102.0,52218189.0,48349924.0,15635989.0,257375.0,261869.0,166.12,74.65,69.12,22.35,3744.0,22225.0,0.032,48.15,69950844.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
TLS,Asia,Timor,2022-02-04,20240.0,63.0,49.429,122.0,0.0,0.0,15060.925,46.879,36.781,90.782,0.0,0.0,2.31,,,,,,,,,,,,,,,,,,1242550.0,672455.0,564583.0,,,696.0,92.46,50.04,42.01,,518.0,247.0,0.018,,1343875.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,,,,
TGO,Africa,Togo,2022-02-04,36550.0,0.0,11.571,268.0,0.0,0.143,4311.035,0.0,1.365,31.61,0.0,0.017,0.39,,,,,,,,,974.0,666105.0,78.566,0.115,920.0,0.109,0.015,65.7,tests performed,,,,,,,,,,,,,,43.52,8478242.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,,,,
TON,Oceania,Tonga,2022-02-04,7.0,1.0,0.857,,,,65.568,9.367,8.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,106759.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,,,,
TTO,North America,Trinidad and Tobago,2022-02-04,113898.0,581.0,605.429,3448.0,15.0,10.857,81160.118,414.002,431.409,2456.936,10.689,7.736,1.04,,,,,,,,,,,,,,,,,,1487643.0,735084.0,693136.0,113028.0,2124.0,1832.0,106.0,52.38,49.39,8.05,1305.0,412.0,0.029,48.15,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TUN,Africa,Tunisia,2022-02-04,934712.0,4622.0,7160.571,26548.0,52.0,59.429,78311.87,387.24,599.926,2224.24,4.357,4.979,1.42,,,,,,,,,15066.0,4092366.0,342.866,1.262,18607.0,1.559,0.394,2.5,people tested,12791490.0,7106753.0,6262239.0,1041032.0,2723.0,11101.0,107.17,59.54,52.47,8.72,930.0,2119.0,0.018,,11935764.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,
TUR,Asia,Turkey,2022-02-04,12051852.0,111157.0,101165.571,88312.0,248.0,205.857,141715.243,1307.072,1189.585,1038.443,2.916,2.421,1.25,,,,,,,,,455463.0,132963480.0,1563.49,5.356,443931.0,5.22,0.222,4.5,tests performed,142522697.0,57464203.0,52464047.0,32594447.0,173739.0,157963.0,167.59,67.57,61.69,38.33,1857.0,11509.0,0.014,54.63,85042736.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,,,
TCA,North America,Turks and Caicos Islands,2022-02-04,5774.0,4.0,11.714,34.0,0.0,0.0,147198.287,101.973,298.636,866.772,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39226.0,37.312,,,,,,,,,,,,80.22,,,,,
UGA,Africa,Uganda,2022-02-04,162136.0,87.0,102.143,3549.0,4.0,3.857,3440.659,1.846,2.168,75.313,0.085,0.082,0.49,,,,,,,,,4740.0,2364426.0,50.175,0.101,3431.0,0.073,0.033,30.4,tests performed,12911692.0,10896664.0,2015028.0,,,38994.0,27.4,23.12,4.28,,827.0,28368.0,0.06,60.19,47123533.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,
UKR,Europe,Ukraine,2022-02-04,4408776.0,45022.0,34316.571,107712.0,188.0,169.0,101428.533,1035.779,789.489,2478.028,4.325,3.888,1.62,,,,,,,,,96361.0,18404417.0,423.413,2.217,79469.0,1.828,0.417,2.4,tests performed,30175106.0,15431277.0,14764509.0,,51926.0,41963.0,69.42,35.5,33.97,,965.0,20260.0,0.047,,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,,,,
ARE,Asia,United Arab Emirates,2022-02-04,853651.0,2114.0,2181.0,2258.0,5.0,3.429,85441.288,211.589,218.295,226.002,0.5,0.343,0.88,,,,,,,,,491658.0,126620885.0,12673.389,49.21,488078.0,48.851,0.005,217.6,tests performed,23612543.0,9890485.0,9336617.0,4385441.0,28487.0,27422.0,236.34,98.99,93.45,43.89,2745.0,25.0,0.0,,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,
GBR,Europe,United Kingdom,2022-02-04,17733624.0,82340.0,72888.714,158119.0,254.0,221.286,259996.692,1207.205,1068.638,2318.219,3.724,3.244,3.63,478.0,7.008,14634.0,214.552,,,11214.0,164.411,1388657.0,441603933.0,6474.456,20.359,1254441.0,18.392,0.059,16.9,tests performed,138299206.0,52385688.0,48494414.0,37419104.0,78777.0,89672.0,202.76,76.8,71.1,54.86,1315.0,14831.0,0.022,42.13,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,,
USA,North America,United States,2022-02-04,76354040.0,371447.0,322108.143,901388.0,4151.0,2486.571,229349.903,1115.741,967.538,2707.561,12.469,7.469,0.75,21898.0,65.777,116794.0,350.822,,,112591.0,338.197,972253.0,783967326.0,2354.857,2.92,1498650.0,4.502,0.201,5.0,tests performed,541410847.0,250593665.0,211563305.0,88846150.0,0.0,343764.0,163.07,75.48,63.72,26.76,1035.0,89411.0,0.027,58.8,332915074.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,
OWID_UMC,,Upper middle income,2022-02-04,105607701.0,844023.0,727401.0,2352640.0,4699.0,3626.0,42013.305,335.773,289.378,935.937,1.869,1.443,,,,,,,,,,,,,,,,,,,4544282639.0,1998731060.0,1875180636.0,499196744.0,3232394.0,5714699.0,180.78,79.51,74.6,19.86,2273.0,1534682.0,0.061,,2513672790.0,,,,,,,,,,,,,,,,,,
URY,South America,Uruguay,2022-02-04,710874.0,10363.0,9463.286,6606.0,27.0,27.857,203972.165,2973.471,2715.315,1895.47,7.747,7.993,1.07,,,,,,,,,27460.0,5298718.0,1520.369,7.879,25560.0,7.334,0.388,2.6,people tested,7466537.0,2922042.0,2694033.0,1850462.0,15481.0,11782.0,214.24,83.84,77.3,53.1,3381.0,4738.0,0.136,,3485152.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,,,,
UZB,Asia,Uzbekistan,2022-02-04,226997.0,961.0,1047.714,1579.0,4.0,3.571,6689.02,28.318,30.873,46.529,0.118,0.105,1.22,,,,,,,,,,,,,,,,,,42277492.0,19368025.0,,,94206.0,85274.0,124.58,57.07,,,2513.0,18845.0,0.056,,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,,
VUT,Oceania,Vanuatu,2022-02-04,7.0,0.0,0.0,1.0,0.0,0.0,22.26,0.0,0.0,3.18,0.0,0.0,,,,,,,,,,,,,,,,,,,178464.0,109176.0,69288.0,,,736.0,56.75,34.72,22.03,,2340.0,196.0,0.062,19.44,314464.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,,,,
VAT,Europe,Vatican,2022-02-04,29.0,0.0,0.0,,,,35714.286,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.0,,,,,,,,,,,,,75.12,,,,,
VEN,South America,Venezuela,2022-02-04,492678.0,1662.0,1952.429,5474.0,5.0,6.286,17163.522,57.899,68.017,190.699,0.174,0.219,1.47,,,,,,,,,,,,,,,,,,35352675.0,20836636.0,13669072.0,202077.0,,126261.0,123.16,72.59,47.62,0.7,4399.0,58169.0,0.203,,28704947.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,,,,
VNM,Asia,Vietnam,2022-02-04,2315689.0,11594.0,13936.0,38147.0,84.0,102.143,23588.842,118.103,141.96,388.586,0.856,1.04,1.06,,,,,,,,,,37957209.0,386.652,,38648.0,0.394,0.443,2.3,samples tested,181581833.0,79078859.0,,,161586.0,441568.0,184.97,80.55,,,4498.0,17888.0,0.018,68.52,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,,,,
WLF,Oceania,Wallis and Futuna,2022-02-04,454.0,0.0,0.0,7.0,0.0,0.0,40923.021,0.0,0.0,630.972,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094.0,,,,,,,,,,,,,79.94,,,,,
OWID_WRL,,World,2022-02-04,390833248.0,2784399.0,2856677.0,5724931.0,12154.0,10294.286,49629.835,353.576,362.754,726.979,1.543,1.307,1.06,,,,,,,,,,,,,,,,,,10159848497.0,4824828969.0,4098352669.0,997232672.0,13630142.0,19802183.0,129.01,61.27,52.04,12.66,2515.0,5038778.0,0.064,,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,,,,
YEM,Asia,Yemen,2022-02-04,11145.0,0.0,29.0,2022.0,2.0,2.286,365.522,0.0,0.951,66.315,0.066,0.075,1.02,,,,,,,,,,,,,,,,,,744060.0,588626.0,344582.0,,,2532.0,2.44,1.93,1.13,,83.0,1820.0,0.006,12.04,30490639.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,,,,
ZMB,Africa,Zambia,2022-02-04,306777.0,430.0,346.286,3928.0,3.0,2.571,16213.866,22.726,18.302,207.604,0.159,0.136,0.54,,,,,,,,,3969.0,3193875.0,168.804,0.21,3595.0,0.19,0.093,10.7,tests performed,2414070.0,,1675276.0,,14333.0,10992.0,12.76,,8.85,,581.0,,,37.96,18920657.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,,,,
ZWE,Africa,Zimbabwe,2022-02-04,230170.0,158.0,153.429,5357.0,0.0,3.429,15250.954,10.469,10.166,354.952,0.0,0.227,0.57,,,,,,,,,3653.0,1994516.0,132.156,0.242,22075.0,1.463,0.007,143.9,tests performed,7600946.0,4286198.0,3314748.0,,7022.0,8296.0,50.36,28.4,21.96,,550.0,4160.0,0.028,40.74,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,
