iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
SXM,North America,Sint Maarten (Dutch part),2021-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51432.0,26750.0,24682.0,,,40.0,118.45,61.61,56.84,,921.0,16.0,0.037,,43421.0,1209.088,,,,36327.232,,,,,,,,78.95,,,,,
SVK,Europe,Slovakia,2021-11-27,1143068.0,11862.0,11198.286,14228.0,51.0,58.571,209325.28,2172.239,2050.695,2605.514,9.339,10.726,1.2,271.0,49.627,3021.0,553.223,,,,,64439.0,44462696.0,8142.268,11.8,65174.0,11.935,0.169,5.9,tests performed,4959747.0,2618464.0,2341283.0,,2.0,6427.0,90.83,47.95,42.87,,1177.0,5447.0,0.1,34.72,5460726.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,
SVN,Europe,Slovenia,2021-11-27,415898.0,2234.0,2494.143,5165.0,23.0,17.286,200073.795,1074.698,1199.844,2484.699,11.064,8.316,0.9,265.0,127.482,1126.0,541.679,159.683,76.818,729.982,351.168,6523.0,1918245.0,922.8,3.138,6472.0,3.113,0.407,2.5,tests performed,2642406.0,1227059.0,1143838.0,271509.0,14653.0,9730.0,127.12,59.03,55.03,13.06,4681.0,1294.0,0.062,53.7,2078723.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,,,,
SLB,Oceania,Solomon Islands,2021-11-27,20.0,0.0,0.0,,,0.0,28.409,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,193817.0,150777.0,43040.0,,,1590.0,27.53,21.42,6.11,,2259.0,1056.0,0.15,27.78,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SOM,Africa,Somalia,2021-11-27,23016.0,0.0,6.714,1327.0,0.0,0.429,1406.889,0.0,0.41,81.115,0.0,0.026,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16359500.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,,,,
ZAF,Africa,South Africa,2021-11-27,2958548.0,6048.0,1541.0,89791.0,20.0,31.286,49274.644,100.729,25.665,1495.47,0.333,0.521,1.26,,,,,,,,,117886.0,19244585.0,320.519,1.963,40254.0,0.67,0.014,73.6,people tested,25238789.0,16994112.0,14267533.0,,127704.0,98255.0,42.04,28.3,23.76,,1636.0,57002.0,0.095,45.37,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,229475.6,23.3,11.83,3821.918
OWID_SAM,,South America,2021-11-27,38895253.0,18634.0,19345.0,1180488.0,385.0,388.286,89566.713,42.91,44.547,2718.389,0.887,0.894,,,,,,,,,,,,,,,,,,,569197754.0,311947803.0,244450507.0,24379473.0,7476.0,557608.0,131.07,71.83,56.29,5.61,1284.0,258769.0,0.06,,434260137.0,,,,,,,,,,,,,,,,,,
KOR,Asia,South Korea,2021-11-27,440896.0,3928.0,3638.714,3548.0,56.0,39.143,8593.596,76.561,70.923,69.155,1.092,0.763,1.23,,,,,,,,,,,,,,,,,,84150239.0,42419011.0,40764548.0,2464798.0,307277.0,210735.0,164.02,82.68,79.46,4.8,4107.0,35916.0,0.07,39.35,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
SSD,Africa,South Sudan,2021-11-27,12717.0,0.0,11.286,133.0,0.0,0.0,1117.352,0.0,0.992,11.686,0.0,0.0,1.12,,,,,,,,,,,,,,,,,,218154.0,185148.0,133315.0,,,4779.0,1.92,1.63,1.17,,420.0,7165.0,0.063,35.19,11381377.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,,,,
ESP,Europe,Spain,2021-11-27,5131012.0,0.0,7192.714,87955.0,0.0,20.714,109765.512,0.0,153.871,1881.583,0.0,0.443,1.51,458.0,9.798,2398.0,51.299,59.255,1.268,977.714,20.916,,63621322.0,1361.023,,90638.0,1.939,0.049,20.3,tests performed,76026523.0,38288327.0,37582174.0,4567312.0,453367.0,191801.0,162.64,81.91,80.4,9.77,4103.0,11232.0,0.024,41.2,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,,,,
LKA,Asia,Sri Lanka,2021-11-27,561778.0,719.0,835.571,14278.0,20.0,24.286,26132.484,33.446,38.869,664.176,0.93,1.13,1.08,,,,,,,,,6437.0,5631989.0,261.986,0.299,6459.0,0.3,0.128,7.8,tests performed,29644331.0,15919195.0,13725136.0,,2918.0,8024.0,137.9,74.05,63.85,,373.0,3115.0,0.014,52.78,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,,,,
SDN,Africa,Sudan,2021-11-27,42056.0,0.0,71.143,3114.0,0.0,2.143,936.464,0.0,1.584,69.34,0.0,0.048,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,,
SUR,South America,Suriname,2021-11-27,50741.0,31.0,47.286,1164.0,2.0,2.571,85740.405,52.383,79.902,1966.887,3.38,4.345,0.75,,,,,,,,,,,,,,,,,,473832.0,256711.0,217121.0,,843.0,794.0,80.07,43.38,36.69,,1342.0,249.0,0.042,72.22,591798.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,,,,
SWE,Europe,Sweden,2021-11-27,1198848.0,0.0,1444.714,15145.0,0.0,5.0,117995.004,0.0,142.194,1490.626,0.0,0.492,1.47,31.0,3.051,272.0,26.771,5.903,0.581,,,18116.0,,,1.783,18116.0,1.783,0.049,20.2,tests performed,15644748.0,7309362.0,7021519.0,,80415.0,56401.0,153.98,71.94,69.11,,5551.0,2810.0,0.028,19.44,10160159.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,,,,
CHE,Europe,Switzerland,2021-11-27,986834.0,0.0,6516.571,11470.0,0.0,12.571,113227.546,0.0,747.7,1316.047,0.0,1.442,1.5,190.0,21.8,1105.0,126.786,,,448.0,51.403,43139.0,12217778.0,1401.846,4.95,44326.0,5.086,0.158,6.3,tests performed,11667889.0,5828268.0,5676984.0,,52349.0,36536.0,133.88,66.87,65.14,,4192.0,3487.0,0.04,50.0,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,,,
SYR,Asia,Syria,2021-11-27,47764.0,0.0,96.143,2729.0,0.0,4.286,2613.524,0.0,5.261,149.324,0.0,0.235,0.72,,,,,,,,,,,,,,,,,,1414665.0,890111.0,732224.0,,,19301.0,7.74,4.87,4.01,,1056.0,5524.0,0.03,60.65,18275704.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,,,,
TWN,Asia,Taiwan,2021-11-27,16578.0,12.0,8.286,848.0,0.0,0.0,694.948,0.503,0.347,35.548,0.0,0.0,1.11,,,,,,,,,11276.0,4411374.0,184.924,0.473,14517.0,0.609,0.0,2248.8,people tested,30648405.0,18168092.0,12480313.0,,394186.0,237350.0,128.48,76.16,52.32,,9950.0,21711.0,0.091,,23855008.0,,42.2,,8.353,,,103.957,,,,,,80.46,,,,,
TJK,Asia,Tajikistan,2021-11-27,17493.0,0.0,0.571,125.0,0.0,0.0,1794.223,0.0,0.059,12.821,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,5291837.0,2880326.0,2411511.0,,,33216.0,54.28,29.54,24.73,,3407.0,13165.0,0.135,29.63,9749625.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,,,
TZA,Africa,Tanzania,2021-11-27,26261.0,0.0,4.857,730.0,0.0,0.429,427.019,0.0,0.079,11.87,0.0,0.007,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,61498438.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,,,,
THA,Asia,Thailand,2021-11-27,2100959.0,0.0,6197.714,20677.0,0.0,45.571,30034.791,0.0,88.601,295.593,0.0,0.651,1.06,,,,,,,,,32124.0,16163876.0,231.075,0.459,44361.0,0.634,0.149,6.7,tests performed,90735069.0,47331644.0,40202745.0,3200680.0,266114.0,446311.0,129.71,67.66,57.47,4.58,6380.0,156081.0,0.223,,69950844.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,
TLS,Asia,Timor,2021-11-27,19822.0,1.0,0.429,122.0,0.0,0.0,14749.884,0.744,0.319,90.782,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,1068010.0,636271.0,431739.0,,,7251.0,79.47,47.35,32.13,,5396.0,2892.0,0.215,44.91,1343875.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,,,,
TGO,Africa,Togo,2021-11-27,26241.0,5.0,6.0,243.0,0.0,0.0,3095.099,0.59,0.708,28.662,0.0,0.0,0.89,,,,,,,,,814.0,573493.0,67.643,0.096,986.0,0.116,0.006,168.3,tests performed,1507722.0,998792.0,508930.0,,,7736.0,17.78,11.78,6.0,,912.0,3924.0,0.046,38.89,8478242.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,,,,
TON,Oceania,Tonga,2021-11-27,1.0,0.0,0.0,,,0.0,9.367,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,116753.0,72695.0,44058.0,,,2026.0,109.36,68.09,41.27,,18977.0,1348.0,1.263,47.22,106759.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,,,,
TTO,North America,Trinidad and Tobago,2021-11-27,69680.0,672.0,599.286,2090.0,29.0,20.429,49651.768,478.846,427.032,1489.268,20.664,14.557,1.2,,,,,,,,,,,,,,,,,,1281756.0,641585.0,640171.0,,1483.0,1760.0,91.33,45.72,45.62,,1254.0,784.0,0.056,62.96,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,,,,
TUN,Africa,Tunisia,2021-11-27,717163.0,175.0,140.0,25363.0,1.0,3.286,60085.22,14.662,11.729,2124.958,0.084,0.275,0.72,,,,,,,,,,3157961.0,264.58,,3357.0,0.281,0.034,29.7,people tested,10376040.0,6047512.0,5071636.0,369618.0,38660.0,53138.0,86.93,50.67,42.49,3.1,4452.0,22255.0,0.186,16.67,11935764.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,
TUR,Asia,Turkey,2021-11-27,8726370.0,23759.0,24860.429,76233.0,192.0,198.0,102611.586,279.377,292.329,896.408,2.258,2.328,1.02,,,,,,,,,361229.0,106545243.0,1252.844,4.248,359648.0,4.229,0.069,14.5,tests performed,119987705.0,56173117.0,50298544.0,13516044.0,142772.0,112463.0,141.09,66.05,59.15,15.89,1322.0,23143.0,0.027,37.96,85042736.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,,,
UGA,Africa,Uganda,2021-11-27,127423.0,10.0,42.143,3252.0,1.0,-0.571,2704.021,0.212,0.894,69.01,0.021,-0.012,0.89,,,,,,,,,4610.0,1932220.0,41.003,0.098,5014.0,0.106,0.008,131.9,samples tested,4751422.0,3838439.0,912983.0,,,135820.0,10.08,8.15,1.94,,2882.0,64749.0,0.137,75.93,47123533.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,
UKR,Europe,Ukraine,2021-11-27,3580671.0,15027.0,14189.143,89911.0,604.0,580.571,82377.106,345.712,326.436,2068.497,13.896,13.357,0.82,,,,,,,,,45617.0,15746389.0,362.262,1.049,40643.0,0.935,0.308,3.3,tests performed,24054784.0,13246108.0,10829356.0,,279776.0,233928.0,55.34,30.47,24.91,,5382.0,70018.0,0.161,57.41,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,,,,
ARE,Asia,United Arab Emirates,2021-11-27,741858.0,68.0,69.714,2145.0,0.0,0.143,74252.011,6.806,6.978,214.691,0.0,0.014,0.99,,,,,,,,,230869.0,97208646.0,9729.54,23.108,268259.0,26.85,0.0,3711.1,tests performed,21548528.0,9801529.0,8832256.0,2914743.0,,28618.0,215.68,98.1,88.4,29.17,2864.0,7100.0,0.071,46.3,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,
GBR,Europe,United Kingdom,2021-11-27,10165779.0,39834.0,44017.286,145167.0,131.0,122.714,149042.796,584.015,645.347,2128.326,1.921,1.799,1.04,925.0,13.562,7633.0,111.909,,,5659.0,82.968,1061365.0,324419813.0,4756.393,15.561,949367.0,13.919,0.046,21.9,tests performed,113910449.0,50875712.0,46255081.0,16779656.0,442483.0,403931.0,167.01,74.59,67.82,24.6,5922.0,23966.0,0.035,46.76,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,,
USA,North America,United States,2021-11-27,48202463.0,24556.0,71513.0,776536.0,187.0,789.0,144789.067,73.761,214.809,2332.535,0.562,2.37,0.94,12404.0,37.259,47347.0,142.219,,,41833.0,125.657,510375.0,658406877.0,1977.702,1.533,1094103.0,3.286,0.088,11.4,tests performed,454447737.0,231367686.0,194668359.0,37431278.0,3.0,842971.0,135.12,68.79,57.88,11.13,2506.0,269386.0,0.08,44.91,332915074.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,
OWID_UMC,,Upper middle income,2021-11-27,82244839.0,105793.0,117450.714,2184689.0,2345.0,2797.571,32718.992,42.087,46.725,869.122,0.933,1.113,,,,,,,,,,,,,,,,,,,3707532579.0,1890987600.0,1622626030.0,106845803.0,10738661.0,10136771.0,147.49,75.23,64.55,4.25,4033.0,1496053.0,0.06,,2513672790.0,,,,,,,,,,,,,,,,,,
URY,South America,Uruguay,2021-11-27,399181.0,291.0,209.857,6125.0,1.0,1.857,114537.616,83.497,60.215,1757.456,0.287,0.533,1.04,,,,,,,,,,,,,,,,,,6781619.0,2749110.0,2654886.0,1377623.0,7476.0,4153.0,194.59,78.88,76.18,39.53,1192.0,400.0,0.011,20.37,3485152.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,,,,
UZB,Asia,Uzbekistan,2021-11-27,192599.0,218.0,211.0,1395.0,3.0,3.143,5675.399,6.424,6.218,41.107,0.088,0.093,0.91,,,,,,,,,,,,,,,,,,32803308.0,17098127.0,,,297727.0,273338.0,96.66,50.38,,,8055.0,134919.0,0.398,,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,,
VUT,Oceania,Vanuatu,2021-11-27,6.0,0.0,0.0,1.0,0.0,0.0,19.08,0.0,0.0,3.18,0.0,0.0,,,,,,,,,,,,,,,,,,,129582.0,89472.0,40110.0,,,959.0,41.21,28.45,12.76,,3050.0,499.0,0.159,19.44,314464.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,,,,
VAT,Europe,Vatican,2021-11-27,27.0,0.0,0.0,,,0.0,33251.232,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.0,,,,,,,,,,,,,75.12,,,,,
VEN,South America,Venezuela,2021-11-27,430046.0,686.0,800.714,5131.0,7.0,8.286,14981.599,23.898,27.895,178.75,0.244,0.289,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,28704947.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,,,,
VNM,Asia,Vietnam,2021-11-27,1197404.0,16067.0,16111.286,24692.0,148.0,143.857,12197.395,163.667,164.118,251.526,1.508,1.465,1.42,,,,,,,,,233803.0,30713893.0,312.868,2.382,122079.0,1.244,0.082,12.3,samples tested,112944634.0,67824005.0,45120629.0,,2027025.0,1559151.0,115.05,69.09,45.96,,15882.0,371579.0,0.379,67.13,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,,,,
WLF,Oceania,Wallis and Futuna,2021-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11903.0,6001.0,5902.0,,,6.0,107.29,54.09,53.2,,541.0,2.0,0.018,,11094.0,,,,,,,,,,,,,79.94,,,,,
OWID_WRL,,World,2021-11-27,261066272.0,407504.0,554142.0,5194517.0,5115.0,6864.286,33151.417,51.747,70.368,659.624,0.65,0.872,1.08,,,,,,,,,,,,,,,,,,7875897403.0,4253487758.0,3356580845.0,224615069.0,26758406.0,28948684.0,100.01,54.01,42.62,2.85,3676.0,8080271.0,0.103,,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,,,,
YEM,Asia,Yemen,2021-11-27,9981.0,2.0,3.714,1945.0,2.0,1.0,327.346,0.066,0.122,63.79,0.066,0.033,0.71,,,,,,,,,,,,,,,,,,759220.0,537397.0,353822.0,,,1809.0,2.49,1.76,1.16,,59.0,1361.0,0.004,,30490639.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,,,,
ZMB,Africa,Zambia,2021-11-27,210138.0,20.0,11.571,3667.0,0.0,0.0,11106.274,1.057,0.612,193.809,0.0,0.0,0.86,,,,,,,,,4365.0,2676054.0,141.436,0.231,4179.0,0.221,0.003,352.5,tests performed,1057879.0,,667433.0,,22083.0,7383.0,5.59,,3.53,,390.0,,,44.44,18920657.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,,,,
ZWE,Africa,Zimbabwe,2021-11-27,133836.0,0.0,31.571,4704.0,0.0,0.714,8867.909,0.0,2.092,311.685,0.0,0.047,0.92,,,,,,,,,2865.0,1439911.0,95.408,0.19,2764.0,0.183,0.01,101.8,tests performed,6544331.0,3757352.0,2786979.0,,31285.0,25976.0,43.36,24.9,18.47,,1721.0,18876.0,0.125,44.44,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,
